"numero_atribuicao";"tempo_gasto"
"6729";"0.29157000000000005"
"1000001";"46.771891"
"11195";"0.7215480000000056"
"539026";"39.765249000000004"
"312496";"15.169204999999991"
"728";"0.03601199999999949"
"319673";"14.880688000000006"
"34457";"1.3604109999999991"
"60800";"4.229012999999995"
"54608";"2.5550109999999933"
"5523";"0.295338000000001"
"14886";"0.7994270000000085"
"4746";"0.2378929999999997"
"5049";"0.2510830000000084"
"651904";"30.892098000000004"
"20559";"1.3712349999999844"
"855260";"49.441575"
"58235";"2.418744000000004"
"9429";"0.3919300000000021"
"231633";"12.602936999999997"
"8378";"0.3225569999999891"
"1000001";"56.471992"
"65831";"2.9032980000000066"
"26399";"1.0789120000000025"
"3430";"0.13849599999997508"
"16050";"0.6502100000000155"
"1000001";"56.33786300000003"
"62914";"2.636036000000047"
"16591";"0.6743829999999775"
"150405";"7.558516999999995"
"304692";"17.088593000000003"
"179137";"10.186171000000002"
"17202";"0.6926200000000335"
"2245";"0.090075000000013"
"3522";"0.14302000000003545"
"211476";"10.678147999999965"
"15444";"1.9299779999999487"
"54093";"2.474472999999989"
"60902";"4.338193999999987"
"19062";"2.1036399999999844"
"4609";"0.1810389999999984"
"8693";"0.34390600000000404"
"833070";"48.143598"
"20586";"0.9549659999999562"
"304022";"15.915217999999982"
"278";"0.01139499999999316"
"114744";"6.421267999999998"
"8067";"0.3463740000000257"
"7392";"1.315069000000051"
"43661";"2.48688599999997"
"202107";"10.705482000000018"
"1000001";"55.43751400000002"
"25417";"2.6541160000000446"
"61622";"4.151927000000001"
"27423";"1.0915639999999485"
