"TENTATIVA_ATRIBUICAO";"TEMPO"
"6729";"0.22560299999999997"
"1000001";"33.159712999999996"
"11195";"0.4173509999999965"
"539026";"19.586425"
"312496";"10.843736000000007"
"728";"0.026949000000001888"
"319673";"10.96867300000001"
"34457";"1.1637560000000065"
"60800";"2.1793969999999945"
"54608";"1.773694000000006"
"5523";"0.18870000000001141"
"14886";"0.4993610000000075"
"4746";"0.14584899999999834"
"5049";"0.15640899999999647"
"651904";"21.59601400000001"
"20559";"0.6989700000000028"
"855260";"30.58025599999999"
"58235";"1.993489000000011"
"9429";"0.3085180000000207"
"231633";"7.8850430000000244"
"8378";"0.292034000000001"
"1000001";"35.43714700000001"
"65831";"2.3531329999999855"
"26399";"0.9061969999999917"
"3430";"0.1284469999999942"
"16050";"0.6442590000000052"
"1000001";"36.726951000000014"
"62914";"2.1257559999999955"
"16591";"0.5457820000000027"
"150405";"5.088886000000002"
"304692";"10.990601999999996"
"179137";"6.223167000000018"
"17202";"0.5680279999999982"
"2245";"0.0762110000000007"
"3522";"0.11728500000000963"
"211476";"6.956254999999999"
"15444";"0.5145180000000096"
"54093";"1.8004899999999964"
"60902";"1.9750019999999893"
"19062";"0.6348760000000198"
"4609";"0.15473099999996975"
"8693";"0.2931960000000231"
"833070";"28.74741499999999"
"20586";"0.7265830000000051"
"304022";"10.397243000000003"
"278";"0.00947099999996226"
"114744";"3.935526999999979"
"8067";"0.2710360000000378"
"7392";"0.25957500000004075"
"43661";"1.4011049999999727"
"202107";"6.5244089999999915"
"1000001";"34.54781800000001"
"25417";"0.8008490000000279"
"61622";"2.0713269999999966"
"27423";"0.9277549999999906"
"12429";"0.39976000000001477"
