"TENTATIVA_ATRIBUICAO";"TEMPO"
"2586";"0.137965"
"108500";"6.1185730000000005"
"227";"0.012595000000000134"
"2376";"0.13664699999999996"
"2400";"0.12849500000000003"
"1291";"0.06855400000000067"
"8822";"0.45873900000000045"
"6616";"0.3668509999999996"
"146040";"7.9940050000000005"
"644";"0.03503500000000059"
"3286";"0.18068000000000062"
"1641";"0.08832099999999876"
"513";"0.028664999999998386"
"308";"0.016315000000000524"
"139635";"7.4868510000000015"
"7223";"0.3967880000000008"
"1323";"0.0762590000000003"
"5416";"0.2884279999999997"
"2084";"0.1074079999999995"
"9403";"0.4934170000000009"
"864";"0.0450899999999983"
"24899";"1.3240119999999997"
"10906";"0.6050509999999996"
"7363";"0.3808119999999988"
"1239";"0.06682399999999689"
"2482";"0.13215399999999988"
"65177";"3.611417999999997"
"4566";"0.24762400000000184"
"1366";"0.07546800000000076"
"11270";"0.6104160000000007"
"2372";"0.13270100000000085"
"602";"0.03360800000000097"
"501";"0.02844699999999989"
"415";"0.020934999999997927"
"792";"0.04193999999999676"
"1599";"0.0888440000000017"
"641";"0.035761999999998295"
"4148";"0.20922599999999392"
"2063";"0.11507199999999784"
"1547";"0.08207399999999865"
"2913";"0.1553570000000022"
"6203";"0.32021100000000047"
"1801";"0.0989229999999992"
"467";"0.025099000000004423"
"8083";"0.43088399999999893"
"60";"0.0033499999999975216"
"2449";"0.1264980000000051"
"3222";"0.17815900000000084"
"3646";"0.20870000000000033"
"4855";"0.25426000000000215"
"3958";"0.21031099999999725"
"77493";"4.288611000000003"
"403";"0.02240499999999912"
"5040";"0.2822009999999935"
"4544";"0.2534700000000001"
"5028";"0.2480459999999951"
