"numero_atribuicao";"tempo_gasto"
"2586";"0.23922"
"108500";"11.077810999999999"
"227";"0.022176999999999225"
"2376";"0.2388539999999999"
"2400";"0.2321030000000004"
"1291";"0.12194000000000038"
"8822";"0.8537959999999991"
"6616";"0.6873500000000003"
"146040";"14.357096999999998"
"644";"0.06920299999999813"
"3286";"0.3410499999999992"
"1641";"0.16579799999999878"
"513";"0.053347000000002254"
"308";"0.030300000000000438"
"139635";"14.874151999999999"
"7223";"0.7754890000000003"
"1323";"0.13947000000000287"
"5416";"0.5361509999999967"
"2084";"0.1994320000000016"
"9403";"0.9163730000000001"
"864";"0.08264799999999894"
"24899";"3.944224999999996"
"10906";"1.1129420000000039"
"7363";"0.6907110000000003"
"1239";"0.12293599999999572"
"2482";"0.24276200000000614"
"65177";"7.581609"
"4566";"0.46017499999999956"
"1366";"0.13745500000000277"
"11270";"1.131444000000002"
"2372";"0.24098599999999948"
"602";"0.06059799999999882"
"501";"0.0495340000000013"
"415";"0.03860300000000194"
"792";"0.07639300000000304"
"1599";"0.2605489999999975"
"641";"0.22409199999999885"
"4148";"1.4052740000000057"
"2063";"0.378768000000008"
"1547";"0.14704500000000564"
"2913";"0.28187800000000607"
"6203";"0.5841789999999918"
"1801";"0.18357199999999807"
"467";"0.04456100000000163"
"8083";"0.7927040000000005"
"60";"0.006097000000011121"
"2449";"0.23437400000000252"
"3222";"0.32586700000000235"
"3646";"0.382039000000006"
"4855";"0.4694279999999935"
"3958";"0.3908320000000032"
"77493";"9.816842000000008"
"403";"0.04048399999999219"
"5040";"0.5241299999999995"
"4544";"0.4616089999999957"
